	A	B	C
613.0	1.301260432634788e+37	1.301260432634787e+37	1.7561660024775586e+37
614.0	1.2810807928903662e+37	1.2810807928903657e+37	1.722556479279495e+37
615.0	1.373219811371062e+37	1.3732198113710613e+37	1.8221774549960143e+37
616.0	1.3016482662928808e+37	1.30164826629288e+37	1.6888536446458345e+37
617.0	1.194662117522819e+37	1.1946621175228184e+37	1.6412614448007714e+37
618.0	1.3143724684389017e+37	1.314372468438901e+37	1.7448008717947713e+37
619.0	1.2551256944653976e+37	1.2551256944653966e+37	1.6053282561489995e+37
620.0	1.2113149247331646e+37	1.2113149247331644e+37	1.662876019957798e+37
621.0	1.2302957715080563e+37	1.2302957715080556e+37	1.6168682036221954e+37
622.0	1.1926823592501528e+37	1.1926823592501521e+37	1.599697742248689e+37
623.0	1.217669706844653e+37	1.2176697068446526e+37	1.628908250488212e+37
624.0	1.2445366797816757e+37	1.244536679781675e+37	1.6411951634123294e+37
625.0	1.2006839685619193e+37	1.2006839685619188e+37	1.5494318656421646e+37
626.0	1.3121468017134354e+37	1.3121468017134347e+37	1.65514019262119e+37
627.0	1.294081319210447e+37	1.2940813192104468e+37	1.636599348780035e+37
628.0	1.2407712803131166e+37	1.2407712803131164e+37	1.5581161134298125e+37
629.0	1.1777850179160172e+37	1.177785017916017e+37	1.494781776594867e+37
630.0	1.2342472741872766e+37	1.2342472741872763e+37	1.5602484456154217e+37
631.0	1.1544997954401234e+37	1.1544997954401232e+37	1.4486425517303342e+37
632.0	1.2401409586611303e+37	1.2401409586611298e+37	1.5833054428603577e+37
633.0	1.0754334236416496e+37	1.075433423641649e+37	1.422753394371519e+37
634.0	1.0988223779298565e+37	1.0988223779298562e+37	1.3823891213009984e+37
635.0	1.2175569441391345e+37	1.217556944139134e+37	1.5197314651584227e+37
636.0	1.0630282084576786e+37	1.0630282084576784e+37	1.3969167297361008e+37
637.0	1.1332759936538692e+37	1.1332759936538687e+37	1.413665155462958e+37
638.0	1.2374557718295062e+37	1.2374557718295057e+37	1.4975264515841426e+37
639.0	1.1233032137014038e+37	1.1233032137014035e+37	1.3636801312252484e+37
640.0	9.799365778394131e+36	9.799365778394127e+36	1.2589925172243299e+37
641.0	1.1471280279790025e+37	1.1471280279790023e+37	1.3819670422188438e+37
642.0	1.1028981098084016e+37	1.1028981098084012e+37	1.3476573948002505e+37
643.0	1.1925243949042993e+37	1.1925243949042986e+37	1.447383332446933e+37
644.0	1.175460787847267e+37	1.1754607878472663e+37	1.4024535227248965e+37
645.0	1.0898004266186637e+37	1.0898004266186635e+37	1.3323546438867105e+37
646.0	1.2054549438882034e+37	1.205454943888203e+37	1.3601498895127415e+37
647.0	1.1500083765274652e+37	1.1500083765274645e+37	1.37740219220277e+37
648.0	1.0845273155450683e+37	1.0845273155450676e+37	1.2914930174106024e+37
649.0	1.18199755487926e+37	1.1819975548792595e+37	1.391229279827873e+37
650.0	1.1781707085830303e+37	1.1781707085830299e+37	1.331413402976356e+37
651.0	1.1039120806084229e+37	1.1039120806084224e+37	1.3262992391426522e+37
652.0	1.1098771503394577e+37	1.1098771503394572e+37	1.2866828475664394e+37
653.0	9.782128594519329e+36	9.782128594519327e+36	1.1866735853953963e+37
654.0	1.1001858462125273e+37	1.1001858462125268e+37	1.2508670487398168e+37
655.0	9.395514513994101e+36	9.395514513994098e+36	1.119118922552133e+37
656.0	9.679573616683146e+36	9.679573616683141e+36	1.1299309081279191e+37
657.0	1.0344193647484919e+37	1.0344193647484915e+37	1.2195396822268674e+37
658.0	1.0699582400590595e+37	1.0699582400590593e+37	1.2667042673882078e+37
659.0	1.0679293215326442e+37	1.0679293215326435e+37	1.211569295910574e+37
660.0	1.069108187765906e+37	1.0691081877659057e+37	1.185279804435457e+37
661.0	9.879723580252651e+36	9.879723580252647e+36	1.147126754970216e+37
662.0	1.0306378922582503e+37	1.0306378922582496e+37	1.1762457916265688e+37
663.0	1.0959515167188069e+37	1.0959515167188069e+37	1.2293019400430511e+37
664.0	9.949911115153215e+36	9.94991111515321e+36	1.1397173209137456e+37
665.0	9.669539580272511e+36	9.669539580272507e+36	1.1008056578870467e+37
666.0	1.1179053069922435e+37	1.1179053069922432e+37	1.2339319298671334e+37
667.0	8.324356006112549e+36	8.324356006112544e+36	9.685992737757837e+36
668.0	7.971306622865586e+36	7.971306622865584e+36	9.410823922236134e+36
669.0	1.0315084414629231e+37	1.0315084414629225e+37	1.1571830698685058e+37
670.0	9.235886426917048e+36	9.235886426917044e+36	1.0212687169678701e+37
671.0	9.727770820314758e+36	9.727770820314753e+36	1.1045317917846107e+37
672.0	9.359231632490181e+36	9.359231632490178e+36	1.0874291452717102e+37
673.0	8.79945955123248e+36	8.799459551232476e+36	9.943290239047708e+36
674.0	9.023121987264533e+36	9.023121987264528e+36	1.0257873895366887e+37
675.0	9.043209962573192e+36	9.043209962573187e+36	1.0151755850928793e+37
676.0	9.143948532094996e+36	9.143948532094992e+36	1.041389725756612e+37
677.0	9.148819204708305e+36	9.148819204708301e+36	1.0190193608682169e+37
678.0	9.295124509093916e+36	9.295124509093911e+36	1.0172514878607926e+37
679.0	8.638728540924074e+36	8.638728540924072e+36	9.142272894344825e+36
680.0	8.793281683387972e+36	8.793281683387967e+36	9.232040942391188e+36
681.0	8.454153821486637e+36	8.454153821486632e+36	9.46693258651079e+36
682.0	9.728029714247531e+36	9.728029714247526e+36	9.973905157138631e+36
683.0	8.875779536733895e+36	8.87577953673389e+36	9.932403123008997e+36
684.0	8.571533874858091e+36	8.571533874858087e+36	9.546292715470512e+36
685.0	9.210067452847211e+36	9.210067452847205e+36	1.0311574968166687e+37
686.0	9.63709158917644e+36	9.637091589176438e+36	1.0260328739150474e+37
687.0	9.149986885671065e+36	9.149986885671061e+36	1.0092037127175607e+37
688.0	8.744536207122842e+36	8.744536207122838e+36	9.393846701447198e+36
689.0	8.794306085160024e+36	8.79430608516002e+36	9.644946417098248e+36
690.0	8.711015904682531e+36	8.71101590468253e+36	9.176753757642257e+36
691.0	9.057210561543724e+36	9.057210561543721e+36	9.772375170549447e+36
